#http://pre-net.rayjump.com/openapi/ad/v3?ad_num=60&ad_source_id=1&ad_type=94&app_id=33520&app_version_name=2.0.0&category=0&country_code=MN&display_cids=%5B%28null%29%5D&exclude_ids=%5B%5D&http_req=2&idfa=41D4E5D7-33C8-42E8-9AF4-177C36524211&idfv=79DF0220-EE45-431B-AC10-A9F9921E07E1&language=mn-MN&mcc=428&mnc=99&model=iPhone8%2C1&network_type=9&offset=2&only_impression=1&openidfa=&orientation=2&os_version=11.1.1&package_name=com.playrix.gardenscapes-m3-ios&ping_mode=1&platform=2&req_type=3&screen_size=667.000000x375.000000&sdk_version=MI_2.2.0&session_id=5a17884de66ec8141e12bdd6&sign=99c829e6d7bd75bed0ff9ddff840446e&timezone=GMT%2B08%3A00&tnum=1&ttc_ids=%5B%5D&unit_id=10856&useragent=Mozilla/5.0%20%28iPhone%3B%20CPU%20iPhone%20OS%2011_1_1%20like%20Mac%20OS%20X%29%20AppleWebKit/604.3.5%20%28KHTML%2C%20like%20Gecko%29%20Mobile/15B150&flow_tag_id=1&flow_request_id=5a178d61610cc20ceea209c9&client_ip=103.229.122.126&mw_countrycode=MN&mw_citycode=14293,
#src,android_reward_video
app_id,24282
unit_id,2163
sign,489942276c3cf759447d81719c104b95
req_type,1
ad_num,1
only_impression,1
ping_mode,1
tnum,1
ttc_ids,%5B%5D
offset,0
ad_type,94
ad_source_id,1
platform,1
os_version,5.0.1
package_name,com.mobvista.sdk.demo
app_version_name,1.0
app_version_code,1
orientation,1
model,Nexus%205X
brand,google
#gaid,0
imei,5287099835748392
gaid,ee94a9ba-c079-4786-8867-2ab109ed5610
mnc,
mcc,
network_type,9
language,en
timezone,GMT%2B08%3A00
useragent,Mozilla%2F5.0%20%28Linux%3B%20Android%206.0.1%3B%20Nexus%205X%20Build%2FMTC19T%3B%20wv%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Version%2F4.0%20Chrome%2F60.0.3112.116%20Mobile%20Safari%2F537.36
sdk_version,MAL_8.4.0
gp_version,8.1.73.S-all%20%5B0%5D%20%5BFP%5D%20165518514
screen_size,540x960
video_version,1
dvi,4BzuYk5uRUE0GaDFiAiTiai2faDTGnRMR0M0YkcURUE0iaRMiavMiavMiavMR0M0DkP3hrKuHcKuHoR1RUztik5tfaiAGnNFDnj9fav0WozULkN0G0RAiUhMiA3Mf0zK
is_clever,1
client_ip,112.94.162.245
version_flag,1
