#src,ios_reward_video
ad_num,5
tnum,3
ad_source_id,1
ad_type,3
app_id,90581
unit_id,13612
sign,63749f52638dc43db53f135d7295c1e6
app_version_name,8.3.4
category,0
display_cids,[(null)]
exclude_ids,[]
http_req,2
#idfa,
idfa,C98B99BB-1B2F-434E-BE53-FD651B03FB6A
idfv,2603D94D-7465-4388-B0C3-BDFA40DCBE32
language,en-JP
mcc,440
mnc,50
model,iPhone8%2C1
native_info,[{%22id%22%3A2%2C%22ad_num%22%3A60}]
network_type,9
offset,0
only_impression,1
openidfa,74C87BBD-C675-EE2A-7651-6EBAC72835EA
orientation,1
os_version,10.3.1
package_name,com.vstudio.camera360
ping_mode,1
platform,2
req_type,1
screen_size,375.000000x667.000000
sdk_version,MI_2.7.9
session_id,59351bcfbf6949550d92a50c
timezone,GMT%2B09%3A00
version_flag,1
ttc_ids,[]
client_ip,219.137.150.254
api_version,1.2
useragent,Mozilla/5.0%20(iPhone%3B%20CPU%20iPhone%20OS%2010_2_1%20like%20Mac%20OS%20X)%20AppleWebKit/602.4.6%20(KHTML%2C%20like%20Gecko)%20Mobile/14D27%20Camera360/8.3.4
