ad_num,5
tnum,1
ad_source_id,1
ad_type,42
api_version,1.0
app_id,23419
unit_id,12313
sign,55b3d507baea049bf7a71b8bc197fcce
app_version_name,2.9.0
category,0
channel,1
country_code,AS
display_cids,%5B%28null%29%5D
exclude_ids,%5B%5D
http_req,2
idfa,35951D6A-DB66-47A1-8CD0-DB1E9E0D33CC
idfv,B749B466-2F46-4E6A-ADBA-880157CE292A
keyword,4MElRoztHFV0RaElinjso0vlRrJQYrxQh0RlG0veWvElRozMD%2B30RaElinRso0vlRrf2hbxXYZRlG0v0D%2Bf3HrdrwDXE8PV0WvElRozghdi0RaEl4MElRovlRretJoRlG0v0inv/inDAfAiBR0MpRovlRozsYrh0RaElRUDMWUjFiAhAi0RpRoSKogT%3D
language,zh-Hans-AS
mcc,
mnc,
model,iPhone6%2C2
native_info,%5B%7B%22id%22%3A2%2C%22ad_num%22%3A1%7D%5D
network_type,2
offset,0
only_impression,1
openidfa,
orientation,1
os_version,9.3.5
package_name,com.mobvista.ui.test
ping_mode,1
platform,2
req_type,1
screen_size,320.000000x568.000000
sdk_version,MI_2.8.0
api_version,1.3
timezone,GMT%2B08%3A00
ttc_ids,%5B%5D
useragent,Mozilla/5.0%20%28iPhone%3B%20CPU%20iPhone%20OS%209_3_5%20like%20Mac%20OS%20X%29%20AppleWebKit/601.1.46%20%28KHTML%2C%20like%20Gecko%29%20Mobile/13G36
